STATISTIC,STATISTIC Label,TLIST(A1),Year,C03424V04122,Local Authority,C03122V03774,Type of Carriageway,UNIT,VALUE
NRA03,National Route Length,2015,2015,-,All licensing authorities,-,All Carriage ways,Number,5306
NRA03,National Route Length,2015,2015,-,All licensing authorities,1,Motorway,Number,916
NRA03,National Route Length,2015,2015,-,All licensing authorities,3,Single,Number,4096
NRA03,National Route Length,2015,2015,-,All licensing authorities,4,Two plus one,Number,
NRA03,National Route Length,2015,2015,-,All licensing authorities,5,Dual carriageway,Number,294
NRA03,National Route Length,2015,2015,1,Carlow,-,All Carriage ways,Number,78
NRA03,National Route Length,2015,2015,1,Carlow,1,Motorway,Number,24
NRA03,National Route Length,2015,2015,1,Carlow,3,Single,Number,54
NRA03,National Route Length,2015,2015,1,Carlow,4,Two plus one,Number,
NRA03,National Route Length,2015,2015,1,Carlow,5,Dual carriageway,Number,0
NRA03,National Route Length,2015,2015,2,Dublin,-,All Carriage ways,Number,140
NRA03,National Route Length,2015,2015,2,Dublin,1,Motorway,Number,82
NRA03,National Route Length,2015,2015,2,Dublin,3,Single,Number,16
NRA03,National Route Length,2015,2015,2,Dublin,4,Two plus one,Number,
NRA03,National Route Length,2015,2015,2,Dublin,5,Dual carriageway,Number,41
NRA03,National Route Length,2015,2015,3,Kildare,-,All Carriage ways,Number,134
NRA03,National Route Length,2015,2015,3,Kildare,1,Motorway,Number,108
NRA03,National Route Length,2015,2015,3,Kildare,3,Single,Number,18
NRA03,National Route Length,2015,2015,3,Kildare,4,Two plus one,Number,
NRA03,National Route Length,2015,2015,3,Kildare,5,Dual carriageway,Number,8
NRA03,National Route Length,2015,2015,4,Kilkenny,-,All Carriage ways,Number,197
NRA03,National Route Length,2015,2015,4,Kilkenny,1,Motorway,Number,68
NRA03,National Route Length,2015,2015,4,Kilkenny,3,Single,Number,112
NRA03,National Route Length,2015,2015,4,Kilkenny,4,Two plus one,Number,
NRA03,National Route Length,2015,2015,4,Kilkenny,5,Dual carriageway,Number,17
NRA03,National Route Length,2015,2015,5,Laois,-,All Carriage ways,Number,168
NRA03,National Route Length,2015,2015,5,Laois,1,Motorway,Number,67
NRA03,National Route Length,2015,2015,5,Laois,3,Single,Number,102
NRA03,National Route Length,2015,2015,5,Laois,4,Two plus one,Number,
NRA03,National Route Length,2015,2015,5,Laois,5,Dual carriageway,Number,0
NRA03,National Route Length,2015,2015,6,Longford,-,All Carriage ways,Number,97
NRA03,National Route Length,2015,2015,6,Longford,1,Motorway,Number,0
NRA03,National Route Length,2015,2015,6,Longford,3,Single,Number,97
NRA03,National Route Length,2015,2015,6,Longford,4,Two plus one,Number,
NRA03,National Route Length,2015,2015,6,Longford,5,Dual carriageway,Number,0
NRA03,National Route Length,2015,2015,7,Louth,-,All Carriage ways,Number,98
NRA03,National Route Length,2015,2015,7,Louth,1,Motorway,Number,40
NRA03,National Route Length,2015,2015,7,Louth,3,Single,Number,49
NRA03,National Route Length,2015,2015,7,Louth,4,Two plus one,Number,
NRA03,National Route Length,2015,2015,7,Louth,5,Dual carriageway,Number,9
NRA03,National Route Length,2015,2015,8,Meath,-,All Carriage ways,Number,204
NRA03,National Route Length,2015,2015,8,Meath,1,Motorway,Number,88
NRA03,National Route Length,2015,2015,8,Meath,3,Single,Number,104
NRA03,National Route Length,2015,2015,8,Meath,4,Two plus one,Number,
NRA03,National Route Length,2015,2015,8,Meath,5,Dual carriageway,Number,12
NRA03,National Route Length,2015,2015,9,Offaly,-,All Carriage ways,Number,116
NRA03,National Route Length,2015,2015,9,Offaly,1,Motorway,Number,15
NRA03,National Route Length,2015,2015,9,Offaly,3,Single,Number,101
NRA03,National Route Length,2015,2015,9,Offaly,4,Two plus one,Number,
NRA03,National Route Length,2015,2015,9,Offaly,5,Dual carriageway,Number,0
NRA03,National Route Length,2015,2015,10,Westmeath,-,All Carriage ways,Number,175
NRA03,National Route Length,2015,2015,10,Westmeath,1,Motorway,Number,56
NRA03,National Route Length,2015,2015,10,Westmeath,3,Single,Number,102
NRA03,National Route Length,2015,2015,10,Westmeath,4,Two plus one,Number,
NRA03,National Route Length,2015,2015,10,Westmeath,5,Dual carriageway,Number,18
NRA03,National Route Length,2015,2015,11,Wexford,-,All Carriage ways,Number,164
NRA03,National Route Length,2015,2015,11,Wexford,1,Motorway,Number,22
NRA03,National Route Length,2015,2015,11,Wexford,3,Single,Number,142
NRA03,National Route Length,2015,2015,11,Wexford,4,Two plus one,Number,
NRA03,National Route Length,2015,2015,11,Wexford,5,Dual carriageway,Number,0
NRA03,National Route Length,2015,2015,12,Wicklow,-,All Carriage ways,Number,92
NRA03,National Route Length,2015,2015,12,Wicklow,1,Motorway,Number,35
NRA03,National Route Length,2015,2015,12,Wicklow,3,Single,Number,38
NRA03,National Route Length,2015,2015,12,Wicklow,4,Two plus one,Number,
NRA03,National Route Length,2015,2015,12,Wicklow,5,Dual carriageway,Number,18
NRA03,National Route Length,2015,2015,13,Clare,-,All Carriage ways,Number,233
NRA03,National Route Length,2015,2015,13,Clare,1,Motorway,Number,32
